tag_id	x_coord	y_coord
0	-15.0	20.0
1	-12.5	20.0
2	-10.0	20.0
3	-7.5	20.0
4	-5.0	20.0
5	-2.5	20.0
6	0.0	20.0
7	2.5	20.0
8	5.0	20.0
9	7.5	20.0
10	10.0	20.0
11	12.5	20.0
12	15.0	20.0
13	-15.0	17.5
14	-12.5	17.5
15	-10.0	17.5
16	-7.5	17.5
17	-5.0	17.5
18	-2.5	17.5
19	0.0	17.5
20	2.5	17.5
21	5.0	17.5
22	7.5	17.5
23	10.0	17.5
24	12.5	17.5
25	15.0	17.5
26	-15.0	15.0
27	-12.5	15.0
28	-10.0	15.0
29	-7.5	15.0
30	-5.0	15.0
31	-2.5	15.0
32	0.0	15.0
33	2.5	15.0
34	5.0	15.0
35	7.5	15.0
36	10.0	15.0
37	12.5	15.0
38	15.0	15.0
39	-15.0	12.5
40	-12.5	12.5
41	-10.0	12.5
42	-7.5	12.5
43	-5.0	12.5
44	-2.5	12.5
45	0.0	12.5
46	2.5	12.5
47	5.0	12.5
48	7.5	12.5
49	10.0	12.5
50	12.5	12.5
51	15.0	12.5
52	-15.0	10.0
53	-12.5	10.0
54	-10.0	10.0
55	-7.5	10.0
56	-5.0	10.0
57	-2.5	10.0
58	0.0	10.0
59	2.5	10.0
60	5.0	10.0
61	7.5	10.0
62	10.0	10.0
63	12.5	10.0
64	15.0	10.0
65	-15.0	7.5
66	-12.5	7.5
67	-10.0	7.5
68	-7.5	7.5
69	-5.0	7.5
70	-2.5	7.5
71	0.0	7.5
72	2.5	7.5
73	5.0	7.5
74	7.5	7.5
75	10.0	7.5
76	12.5	7.5
77	15.0	7.5
78	-15.0	5.0
79	-12.5	5.0
80	-10.0	5.0
81	-7.5	5.0
82	-5.0	5.0
83	-2.5	5.0
84	0.0	5.0
85	2.5	5.0
86	5.0	5.0
87	7.5	5.0
88	10.0	5.0
89	12.5	5.0
90	15.0	5.0
91	-15.0	2.5
92	-12.5	2.5
93	-10.0	2.5
94	-7.5	2.5
95	-5.0	2.5
96	-2.5	2.5
97	0.0	2.5
98	2.5	2.5
99	5.0	2.5
100	7.5	2.5
101	10.0	2.5
102	12.5	2.5
103	15.0	2.5
104	-15.0	0.0
105	-12.5	0.0
106	-10.0	0.0
107	-7.5	0.0
108	-5.0	0.0
109	-2.5	0.0
110	0.0	0.0
111	2.5	0.0
112	5.0	0.0
113	7.5	0.0
114	10.0	0.0
115	12.5	0.0
116	15.0	0.0
117	-15.0	-2.5
118	-12.5	-2.5
119	-10.0	-2.5
120	-7.5	-2.5
121	-5.0	-2.5
122	-2.5	-2.5
123	0.0	-2.5
124	2.5	-2.5
125	5.0	-2.5
126	7.5	-2.5
127	10.0	-2.5
128	12.5	-2.5
129	15.0	-2.5
130	-15.0	-5.0
131	-12.5	-5.0
132	-10.0	-5.0
133	-7.5	-5.0
134	-5.0	-5.0
135	-2.5	-5.0
136	0.0	-5.0
137	2.5	-5.0
138	5.0	-5.0
139	7.5	-5.0
140	10.0	-5.0
141	12.5	-5.0
142	15.0	-5.0
143	-15.0	-7.5
144	-12.5	-7.5
145	-10.0	-7.5
146	-7.5	-7.5
147	-5.0	-7.5
148	-2.5	-7.5
149	0.0	-7.5
150	2.5	-7.5
151	5.0	-7.5
152	7.5	-7.5
153	10.0	-7.5
154	12.5	-7.5
155	15.0	-7.5
156	-15.0	-10.0
157	-12.5	-10.0
158	-10.0	-10.0
159	-7.5	-10.0
160	-5.0	-10.0
161	-2.5	-10.0
162	0.0	-10.0
163	2.5	-10.0
164	5.0	-10.0
165	7.5	-10.0
166	10.0	-10.0
167	12.5	-10.0
168	15.0	-10.0
169	-15.0	-12.5
170	-12.5	-12.5
171	-10.0	-12.5
172	-7.5	-12.5
173	-5.0	-12.5
174	-2.5	-12.5
175	0.0	-12.5
176	2.5	-12.5
177	5.0	-12.5
178	7.5	-12.5
179	10.0	-12.5
180	12.5	-12.5
181	15.0	-12.5
182	-15.0	-15.0
183	-12.5	-15.0
184	-10.0	-15.0
185	-7.5	-15.0
186	-5.0	-15.0
187	-2.5	-15.0
188	0.0	-15.0
189	2.5	-15.0
190	5.0	-15.0
191	7.5	-15.0
192	10.0	-15.0
193	12.5	-15.0
194	15.0	-15.0
195	-15.0	-17.5
196	-12.5	-17.5
197	-10.0	-17.5
198	-7.5	-17.5
199	-5.0	-17.5
200	-2.5	-17.5
201	0.0	-17.5
202	2.5	-17.5
203	5.0	-17.5
204	7.5	-17.5
205	10.0	-17.5
206	12.5	-17.5
207	15.0	-17.5
208	-15.0	-20.0
209	-12.5	-20.0
210	-10.0	-20.0
211	-7.5	-20.0
212	-5.0	-20.0
213	-2.5	-20.0
214	0.0	-20.0
215	2.5	-20.0
216	5.0	-20.0
217	7.5	-20.0
218	10.0	-20.0
219	12.5	-20.0
220	15.0	-20.0
